"filename", "language", "Python", "pip requirements", "comment", "blank", "total"
"/Users/clifford/Codings/winda_database/recommended_trip/migrations/0028_singletrip_nights.py", "Python", 12, 0, 1, 6, 19
"/Users/clifford/Codings/winda_database/recommended_trip/migrations/0029_auto_20220827_0931.py", "Python", 127, 0, 1, 6, 134
"/Users/clifford/Codings/winda_database/recommended_trip/migrations/0030_auto_20220827_1022.py", "Python", 36, 0, 1, 6, 43
"/Users/clifford/Codings/winda_database/recommended_trip/migrations/0031_requestcustomtrip.py", "Python", 20, 0, 1, 6, 27
"/Users/clifford/Codings/winda_database/recommended_trip/migrations/0032_singletrip_old_price.py", "Python", 12, 0, 1, 6, 19
"/Users/clifford/Codings/winda_database/recommended_trip/migrations/0033_singletrip_general_transfer.py", "Python", 14, 0, 1, 6, 21
"/Users/clifford/Codings/winda_database/recommended_trip/migrations/0034_requestinfo.py", "Python", 22, 0, 1, 6, 29
"/Users/clifford/Codings/winda_database/recommended_trip/models.py", "Python", 65, 0, -23, 3, 45
"/Users/clifford/Codings/winda_database/recommended_trip/signals.py", "Python", 10, 0, 0, 4, 14
"/Users/clifford/Codings/winda_database/requirements.txt", "pip requirements", 0, 3, 0, 0, 3
"/Users/clifford/Codings/winda_database/transport/admin.py", "Python", 80, 0, 0, 5, 85
"/Users/clifford/Codings/winda_database/transport/api/serializers.py", "Python", 10, 0, 0, 6, 16
"/Users/clifford/Codings/winda_database/transport/api/urls.py", "Python", 30, 0, 0, 0, 30
"/Users/clifford/Codings/winda_database/transport/api/views.py", "Python", 57, 0, 0, 22, 79
"/Users/clifford/Codings/winda_database/transport/migrations/0019_flight.py", "Python", 27, 0, 1, 6, 34
"/Users/clifford/Codings/winda_database/transport/migrations/0020_flight_number_of_people.py", "Python", 12, 0, 1, 6, 19
"/Users/clifford/Codings/winda_database/transport/migrations/0021_auto_20220823_2204.py", "Python", 22, 0, 1, 6, 29
"/Users/clifford/Codings/winda_database/transport/migrations/0022_auto_20220823_2244.py", "Python", 27, 0, 1, 6, 34
"/Users/clifford/Codings/winda_database/transport/migrations/0023_flight_flight_types.py", "Python", 12, 0, 1, 6, 19
"/Users/clifford/Codings/winda_database/transport/migrations/0024_flight_is_admin_entry.py", "Python", 12, 0, 1, 6, 19
"/Users/clifford/Codings/winda_database/transport/migrations/0025_generaltransfers.py", "Python", 33, 0, 1, 6, 40
"/Users/clifford/Codings/winda_database/transport/migrations/0026_auto_20220906_1537.py", "Python", 40, 0, 1, 6, 47
"/Users/clifford/Codings/winda_database/transport/models.py", "Python", 42, 0, 0, 9, 51
"/Users/clifford/Codings/winda_database/transport/signals.py", "Python", 10, 0, 0, 5, 15
"/Users/clifford/Codings/winda_database/trip/admin.py", "Python", 39, 0, 0, 4, 43
"/Users/clifford/Codings/winda_database/trip/api/serializers.py", "Python", 15, 0, 0, 2, 17
"/Users/clifford/Codings/winda_database/trip/api/urls.py", "Python", 11, 0, 0, 0, 11
"/Users/clifford/Codings/winda_database/trip/api/views.py", "Python", 33, 0, 0, 12, 45
"/Users/clifford/Codings/winda_database/trip/migrations/0051_trip_flight.py", "Python", 14, 0, 1, 6, 21
"/Users/clifford/Codings/winda_database/trip/migrations/0052_bookedtrip.py", "Python", 32, 0, 1, 6, 39
"/Users/clifford/Codings/winda_database/trip/migrations/0053_auto_20220822_1305.py", "Python", 17, 0, 1, 6, 24
"/Users/clifford/Codings/winda_database/trip/migrations/0054_auto_20220822_1812.py", "Python", 17, 0, 1, 6, 24
"/Users/clifford/Codings/winda_database/trip/migrations/0055_bookedtrip_cancelled.py", "Python", 12, 0, 1, 6, 19
"/Users/clifford/Codings/winda_database/trip/models.py", "Python", 25, 0, 0, 4, 29
"/Users/clifford/Codings/winda_database/trip/signals.py", "Python", 5, 0, 0, 2, 7
"/Users/clifford/Codings/winda_database/user/api/serializer.py", "Python", 24, 0, 0, 7, 31
"/Users/clifford/Codings/winda_database/user/signals.py", "Python", 1, 0, 17, 3, 21
"/Users/clifford/Codings/winda_database/winda_database/settings.py", "Python", 5, 0, 7, 3, 15
"Total", "-", 3019, 3, 22, 641, 3685
