"filename", "language", "Python", "HTML", "pip requirements", "comment", "blank", "total"
"/Users/clifford/Codings/winda_database/lodging/migrations/0128_auto_20220812_2233.py", "Python", 19, 0, 0, 1, 6, 26
"/Users/clifford/Codings/winda_database/lodging/models.py", "Python", 71, 0, 0, -14, 4, 61
"/Users/clifford/Codings/winda_database/recommended_trip/admin.py", "Python", 54, 0, 0, 0, 10, 64
"/Users/clifford/Codings/winda_database/recommended_trip/api/filterset.py", "Python", -35, 0, 0, 0, 2, -33
"/Users/clifford/Codings/winda_database/recommended_trip/api/pagination.py", "Python", 17, 0, 0, 0, 4, 21
"/Users/clifford/Codings/winda_database/recommended_trip/api/serializers.py", "Python", 15, 0, 0, 0, 6, 21
"/Users/clifford/Codings/winda_database/recommended_trip/api/views.py", "Python", 1, 0, 0, 0, 0, 1
"/Users/clifford/Codings/winda_database/recommended_trip/migrations/0011_triphighlight.py", "Python", 16, 0, 0, 1, 6, 23
"/Users/clifford/Codings/winda_database/recommended_trip/migrations/0012_auto_20220717_1104.py", "Python", 47, 0, 0, 1, 6, 54
"/Users/clifford/Codings/winda_database/recommended_trip/migrations/0013_auto_20220717_1120.py", "Python", 16, 0, 0, 1, 6, 23
"/Users/clifford/Codings/winda_database/recommended_trip/migrations/0014_rename_princing_type_singletrip_pricing_type.py", "Python", 12, 0, 0, 1, 6, 19
"/Users/clifford/Codings/winda_database/recommended_trip/migrations/0015_remove_singletrip_starting_point.py", "Python", 11, 0, 0, 1, 6, 18
"/Users/clifford/Codings/winda_database/recommended_trip/migrations/0016_singletrip_area_covered.py", "Python", 12, 0, 0, 1, 6, 19
"/Users/clifford/Codings/winda_database/recommended_trip/migrations/0017_alter_triphighlight_trip.py", "Python", 13, 0, 0, 1, 6, 20
"/Users/clifford/Codings/winda_database/recommended_trip/migrations/0018_alter_singletrip_options.py", "Python", 11, 0, 0, 1, 6, 18
"/Users/clifford/Codings/winda_database/recommended_trip/migrations/0019_auto_20220811_0243.py", "Python", 49, 0, 0, 1, 6, 56
"/Users/clifford/Codings/winda_database/recommended_trip/migrations/0020_singletrip_total_number_of_days.py", "Python", 12, 0, 0, 1, 6, 19
"/Users/clifford/Codings/winda_database/recommended_trip/models.py", "Python", 41, 0, 0, 0, 12, 53
"/Users/clifford/Codings/winda_database/requirements.txt", "pip requirements", 0, 0, 2, 0, 0, 2
"/Users/clifford/Codings/winda_database/transport/admin.py", "Python", -28, 0, 0, 0, 2, -26
"/Users/clifford/Codings/winda_database/transport/api/filterset.py", "Python", -11, 0, 0, 0, 0, -11
"/Users/clifford/Codings/winda_database/transport/api/pagination.py", "Python", 15, 0, 0, 0, 3, 18
"/Users/clifford/Codings/winda_database/transport/api/serializers.py", "Python", 10, 0, 0, 0, 5, 15
"/Users/clifford/Codings/winda_database/transport/api/views.py", "Python", 1, 0, 0, 0, 0, 1
